likes,orimessage,message,noun
100,"A fast-moving fire that appeared to be accidental swept through a birthday party in a basement bar in northwest France, killing at least 13 people and injuring six others, authorities said Saturday:  ",fast move fire appear accident swept birthday parti basement bar northwest franc kill least people injury six other author said saturday,fire party basement bar france people others authorities saturday
100,At least 28 people die in mudslides in mountainous region of Mexico as new tropical storm forms off the country's Pacific coast.,least people die mudslide mountain region mexico new tropic storm form country pacify coast,people mudslides region mexico storm forms country coast
100,"Providing counseling to couples trying to conceive has been challenging, in part, because the data on Zika is limited.",proved counsel couple tri conceive challenge part data zira limit,part data zika
100,"Four new Zika infections acquired locally through mosquitoes have been reported in northern Miami, bringing the total number of people locally infected locally to at least 21.",four new zira infect acquire local mosquito report northern miami bring total number people local infect local least,infections mosquitoes miami number people
100,The bad boy among sex hormones also has a sweet side.,bad boy among sex hormion also sweet side,boy sex hormones side
100,"The school defends the endeavor, saying the grant that funded the project also helped support the education of 34 students.",school defend endeavor say grant fund project also help support educ student,school endeavor grant project education students
100,There is a new breed of mother on the playground.,new breed mother playground,breed mother playground
100,"'Sexual minority' youth - defined as gay, lesbian and bisexual or not sure - experience substantially higher levels of physical and sexual violence than their heterosexual peers, according to new CDC report.",sexual minor youth define gay lesbian bisext sure expert substant higher level physic sexual violence heterosex peer accord new CDC report,minority youth gay experience levels violence peers report
100,"Weeks after the departure of Roger Ailes, Rupert Murdoch has announced leadership changes at Fox News and its sister channel, Fox Business Network.",week departure roger ail rupert Murdoch announce leadership chang fox news sister channel fox busy network,weeks departure roger ailes rupert murdoch leadership changes news sister channel fox business network
100,"One man has died and at least four others were injured from a lightning strike at a park in Poughkeepsie, New York:  ",one man die least four other injury light strike park Poughkeepsie new york,man others lightning strike park poughkeepsie york
100,"Turkish authorities have prepared an official request for the temporary arrest of United States-based Islamic cleric Fethullah Gulen over his alleged involvement in the coup attempt on July 15, Turkey's state-run news agency says:  ",turkish author prepare office request temporary arrest unit state base islam cleric fethullah glen alley involve coup attempt Juli turkey state run news agent say,authorities request arrest cleric fethullah gulen involvement coup attempt july turkey news agency
100,Officials say the radiation leak likely occurred in the steam generator tubes of San OnofreÃ¢ÂÂs reactor #3.,office say radiant leak like occur steam genera tube san nor reactor,officials radiation steam generator tubes reactor
100,"A prominent California real estate investor who pleaded not guilty to killing his wife for financial gain, now claims another man did the killing and forced the real estate mogul to bury the body.",Promin california real estate investor plead guilty kill wife finance gain claim anorth man kill for real estate mogul buri Bodi,california estate investor wife gain man killing estate mogul body
100,The report also mentioned allegations of similar misconduct by agents on trips to Romania and China.,report also mention alley similar misconduct agent trip romania china,report allegations misconduct agents trips
100,"MIA officials invited 'Nightline' to film, indicating they are pulling back the curtain on their security tactics in unprecedented ways.",mia office invite nightly film indic pull back curtain secure tactic unpieced way,mia officials 'nightline film curtain security tactics ways
100,"With 20 detainees of the 61 remaining detainees at Guantanamo cleared for transfer, the prison population will likely be dropping in coming months.",detained remain detained Guantanamo clear transfer prison pipul like drop come month,detainees detainees guantanamo transfer prison population months
100,Experts say increasing Zika infection numbers don't necessarily mean the outbreak is getting worse. It could be a sign health officials are doing what they should to stop the outbreak.,expert say increase zira infect number necessarily mean outbreak get words could sign health office stop outbreak,experts infection numbers outbreak health officials outbreak
100,Russian rejects allegations that its use of Iranian military bases for airstrikes in Syria violates UN sanctions on Iran.,russian reject alley use iranian military base airstrip syria violet un sanction iran,rejects allegations use bases airstrikes syria violates sanctions iran
100,"Federal Reserve officials anticipate that because of improved economic conditions, a hike in interest rates 'was or would soon be warranted.'",fever reserve office anticus improv economy Condit hike interest rate would soon warrant,reserve officials conditions hike interest rates
100,U.S. Department of State issues statement amid reports of two Team USA swimmers 'detained' by authorities in Rio. 'We stand ready to provide all appropriate consular assistance.'  ,u depart state issue statement amid report two team usa swimmer detain author rio stand ready proved appropre consular assist,department state issues statement reports team swimmers authorities rio assistance
100,USOC: Team USA swimmers pulled off flight from Rio 'released by local authorities with the understanding that they would continue their discussions about the incident on Thursday.'  ,USOC team usa swimmer pull flight rio release local author understand would continue discuss inced thursday,usoc team swimmers flight rio authorities discussions incident thursday
100,"Thousands of young children head to the emergency room every year because of injuries associated with strollers and baby carriers, study finds.",thousand young children head emerge room every year injury associe stroller Babi carrier study find,thousands children emergency room year injuries strollers baby carriers study finds
100,"Kelly Soo Park 'used her bare hands' to 'strangle' the actress and then, according to prosecutors, turned on the gas stove in an 'attempt to blow up the apartment.'",Kelli Soo park use bare hand strange actress accord prosecutor turn ga stove attempt blow apart,park hands actress prosecutors gas stove 'attempt apartment
100,At least some of the hacking weapons possibly pilfered from an NSA-linked cyberoperation and exposed publicly are real.,least hack weapon possible pilfer NSA link cyberoper expos publicly real,hacking weapons cyberoperation
100,Not all days are created equal when it comes to shopping for airline tickets.,day creat equal come shop airline ticket,days airline tickets
100,"The reason for the move, said the TSA,  is operational efficiency.",reason move said tea OPer effect,reason move tsa efficiency
100,Adoption battle over 5-year-old boy pits Missouri couple vs. illegal immigrant.,adopt battle year old boy pit missouri couple vs iller immigr,adoption battle boy pits immigrant
100,"Bears are bolder, mosquitoes are multiplying and stream-dwelling fish are stressed. Beyond hurting crops and helping the tourism industry, New England's hot, dry summer also is affecting the region's wildlife.",bear bolder mosquito multiple stream dwell fish stress beyond hurt crop help tourism industry new england hot DRI summer also affect region wildlife,bears bolder mosquitoes fish crops tourism industry england summer region wildlife
100,Voters in tightly contested North Carolina have seen the presidential candidates and their surrogates a lot this summer. What helps make the state such a political hot spot? Its voting begins before anywhere else.,voter tightly contest north carolina seen president candid sorrow lot summer help make state polit hot spot vote begin anywhere els,voters carolina candidates surrogates lot summer state hot spot voting
100,"When it comes to hotels, customer reviews are increasingly important to travelers.",come hotel custom review increasingly import travel,hotels customer reviews travelers
100,"During the skirmish, some patrons can be heard laughing on the video, while others yelled, Ã¢ÂÂYou are attacking him!Ã¢ÂÂ",skirmish patron heard laugh video other yell attack,skirmish patrons video others  
100,Ghoulish 3D images await... which is your favorite frightener?,ghoulish image await favorite frighten,images frightener
100,UPDATE: Death toll rises to 159 after 6.2-earthquake strikes central Italy.  ,update death toll rise earthquake strike central Itali,update death toll strikes italy
100,"'I asked my classmates to lie on the ground, and I ran to the other side, to the south side, to see what is going on...I saw that guy, the terrorist walking.'",ask classman lie ground ran side south side see go saw guy terrorist walk,'i classmates ground i side side i guy walking
100,"Time is precious, so here are some of the shows to be watching right now on TV.Do you agree with ABC's World News Now? What are your favorite new shows this season?",time precious show watch right tv agre abc world news favorite new show season,time shows tv.do abc world news shows season
100,Young children who undergo multiple procedures requiring anesthesia could be at higher risk for developing attention-deficit hyperactivity disorder.,young children undergo multiple procedure require anesthesia could higher risk develop attent deficit hyperact discord,children procedures anesthesia risk hyperactivity disorder
100,Hackers claim to have discovered a way to open any of the locks with a universal key of sorts.,hacker claim disco way open lock univers key sort,hackers way locks key sorts
100,Volkswagen reaches 'deal in principle' to compensate 652 VW brand dealers affected by its diesel emissions scandal.,volkswagen reach deal principle compense VW brand dealer affect diesel miss scandal,volkswagen principle vw brand dealers diesel emissions scandal
100,"More than 40 people have been infected locally by the Zika virus in Singapore, but most have fully recovered, officials say.",people infect local zira virus singapore full Recor office say,people zika virus singapore officials
100,"Even before the high-profile shooting death of Nykea Aldridge, NBA star Dwyane Wade's cousin, Chicago had been battling a citywide spike in violent crime.",even high profit shoot death naked Aldridge NBA star dayan wade cousin chicago battle citywide spike violent crime,death aldridge star dwyane wade cousin chicago citywide spike crime
