two_thousand_likes,twentyfive_hundred_likes,five_thousand_likes,ori_likes,message
2000,2500,5000,61,robert took unuse step devot major annual report issue judicia ethic
2000,2500,5000,120,agre new law
2000,2500,5000,225,happy new year bird
2000,2500,5000,69,new chief staff
2000,2500,5000,284,nationwide clamor arrest notwithstand lead prosecutor trayvon martin case tell abc news convict killer neighborhood watch volupt Georg Zimmerman could prove difficult
4000,5000,5000,3482,video woman left glum home depot toilet seat hour appar prank
4000,5000,5000,2786,inside look tom hank transform walt disney
4000,5000,5000,2980,say first laid cast glare picture Mandela memory photograph took think differ
2000,2500,5000,919,video NTSB release airport footbag show Atiana airline cartwheel crash land
2000,2500,5000,1319,develop sent chief staff place leave child pornography alley surface
2000,2500,5000,481,good news bad news congress reach budget deal could trigger increase airline ticket price detail
4000,2500,5000,2306,prosecutor press charge Georg Zimmerman detail
2000,2500,5000,1304,million lamp recal follow death child choke lamp cord
4000,5000,5000,3494,much women earn compar men expert show surprise hidden Bia tonight abc world news dian sawyer
2000,2500,5000,1917,develop mission control source tell abc news nasa debat emerge spacewalk deal problem intern space station
2000,2500,5000,169,thousand intern theft amount go unprosecut year mani theft prosecute without convict
4000,5000,5000,2625,break american univers camp nation campit lockdown policy receive call man gun
6000,5000,5000,4527,get scream head said stepfather save rage bear
2000,2500,5000,444,worry someone know hipster find sure
2000,2500,5000,1562,Ethan couch charge juvenile four count into onslaught
2000,2500,5000,833,use member use american people goal Goehner said
2000,2500,5000,823,policy pennsylvania investing death new york city college student fratery ritual
2000,2500,5000,484,complete list golden globe nomina
4000,5000,5000,3086,stood alongside world leader like preside Obama nelson Mandela memory service man accus fake sign interpret say hallucin angel enter stadium suffer schizophrenia violent past
2000,2500,5000,1402,update team still work determine ISS problem spacewalk problem idol
2000,2500,5000,875,abc news viewer come together help struggle high school school send thank read
2000,2500,5000,185,follow health reform law argument throughout day live blog
2000,2500,5000,709,yahoo email outa continue problem harder fix origin expect
4000,2500,5000,2055,danish prime miniest defend take picture pre Obama british pm Cameron Mandela memory
8000,7500,10000,7348,photo us couple travel africa majesty wed
4000,5000,5000,3177,break montana newly accus push husband death cliff agre plea guilty nd degree murder
2000,2500,5000,1626,new uncle north korean dictate kim long un set pure leadership wife execute accord rogue country state news agent
2000,2500,5000,1135,anti said felt compel keep sign magnitude event
2000,2500,5000,1174,u ambassador finland bruce wreck really outdone year
2000,2500,5000,1159,complete senseless even wrap mind around sometime Jenni van wink wife told abc news wake every single day nightmare
2000,2500,5000,736,mission control launch sever tiger team work around clock troubleshoot cool failure intern space station nasa office said
2000,2500,5000,222,policy investing death possible hate crime
2000,2500,5000,1902,Lillian Gomez fire job school office found Gomez allegedly put jumbo size crayon cup soak day hot sac move bag label student name
2000,2500,5000,852,dad complaint Facebook ringer join son youth football team end son boot team
2000,2500,5000,1789,year keep purpose iran secret family american held iran acknowledge SPI rogue cia OPer feel betray us govern
10000,10000,10000,8821,tea lottery commits spokesperson mega million jackpot second largest lottery history
4000,2500,5000,2452,plane crash deputy director held hawaii health director hand float ocean die
8000,10000,10000,7509,break author announce arrest terror suspect allegedly prepare drive expos laden vehicle wichita kansa airport alley desire commit violent jihad
2000,2500,5000,1614,develop school Littleton colorado lockdown policy respond situate arapaho high school
4000,2500,5000,2266,update sheriff shoot arapaho high school centennia colorado student group together search evacue school live
4000,5000,5000,2592,break update office gunman enter arapaho high school centennia colorado shotgun look specif teacher could find victim shot gunman dead appar self inflict gunshot wound
2000,2500,5000,541,correct offic charge bigamic first wife found second wife Facebook author said
2000,2500,5000,1565,update sheriff student gunman enter colorado school look specif teacher confront azoth student gunman shot student latest
4000,5000,5000,2660,school shoot since Sandi hook massacre include current shoot arapaho high school centennia colorado abc world news dian sawyer
4000,5000,5000,3693,leave industry student Lehigh univers known engin school construct elabor beer pong set ever
2000,2500,5000,793,say energy reform bill strip country mexico one lawman demonstr point front congress
2000,2500,5000,1164,their husband father station afghanistan headquart company comrade came attack Taliban march one deadliest firefight war
2000,2500,5000,909,politician attack
2000,2500,5000,1208,two men Iditarod champion alaska born marathon runner prove survive day frozen alaskan wilder pure wile
2000,2500,5000,1329,victoria secret angel supermodel Alessandra Ambrosio reveal botch plastic surgery year old
2000,2500,5000,339,think jenna right disqualify
8000,7500,10000,7071,got bad kidney tell height go get new one
8000,10000,10000,7853,consume little h Bodi struggle countless function find
4000,2500,5000,2460,Karl Pierson enter arapaho high school centennia Colo last time friday seek school librarian Traci murphy
4000,2500,5000,2259,thank get us two million like Facebook
6000,5000,5000,4936,time get ticket
2000,2500,5000,1045,year old american went miss iran seven year ago Kerri say person involve effort local
6000,5000,5000,4263,Ethan couch sentence year probit caus fatal acid left four people dead azoth sever injury afterward policy found blood alcohol level three time legal adult limit
2000,2500,5000,1472,update teenage student policy say open fire colorado high school legal Purchas gang shotgun denver area gun store within one week friday attack
2000,2500,5000,1386,amaze cometh happen someone go join brotherhood like care world oh fratery Pocono mountain region policy chief Harri lewis told abc news
4000,5000,5000,3360,update year old girl shot point blank colorado high school wrong place wrong time target year old gunman policy said today
2000,2500,5000,238,two relate story comment
2000,2500,5000,1139,advocacy group incense christmas song glorify holocaust call jew burn broadcast telesis
4000,5000,5000,2501,policy say suspect boyfriend brutal murder seemingly vanish family fear dead
8000,7500,10000,6462,family friend politician celebe attend finer Mandela home village Nunu
10000,10000,10000,8773,break lawrence arabia star nomina eight time academic award die
6000,5000,5000,4908,classmate year old colorado high school shoot victim Ralli around remain hospita sever injury
6000,7500,10000,5757,hell raiser dazzle blue eye also one greatest actor genera
4000,5000,5000,3655,update girl family say still critic Condit stable coma
4000,5000,5000,3177,use thought human one smart enough use tool think
2000,2500,5000,718,free world america sen john McCain said
2000,2500,5000,1067,author say man leave northern new jersey mall shop wife shot later pronounce dead
2000,2500,5000,144,abc news full story cover Cheney weekend transplant
2000,2500,5000,988,busy year technology smartphone got smarter tablet got thinner lighter social media got social
8000,7500,10000,7210,weekend winner mega million jackpot jump near record
4000,5000,5000,3704,look back stun image year picture
2000,2500,5000,1469,harvard issue alert order evacue receive unconfirm threat morn exam cancel
2000,2500,5000,937,family us man believe held captive iran demand meet new fbi director report surface rogue mission cia disappear
